die,Altstadt,old city center
der,Außenbezirk,suburb
die,Bevölkerung,population
der,Bezirk,district
die,Brücke,bridge
das,Bundesland,federal state
der,Einwohner,resident (m.)
die,Einwohnerin,resident (f.)
die,Fläche,area
der,Fluss,river
das,Gebäude,building
die,Geschichte,history; story
die,Grenze,border
die,Gründung,founding; foundation
die,Grünzone,green space
die,Hauptstadt,capital city
die,Parkanlage,public park
das,Schoss,castle
die,Sehenswürdigkeit,sightseeing attraction
der,Staat,state; country
die,Stadt,city; town
das,Stadtbild,appearance of the city
der,Stadtplan,city map
der,Stadtteil,part of a city
das,Umland,surrounding region
das,Viertel,neighborhood
das,Wahrzeichen,symbol
die,Wiedervereinigung,reunification
der,Wohnort,hometown
der,Zweite Weltkrieg,The Second World War